Total_position,Total_company,Salary_per_month
展厅接待,北京瑞海凌云文化传媒有限公司,6000.0
电话客服专员,环球杰狮（北京）广告有限公司,3000.0
校园招聘 本科 解决北京户口,环球兄弟时代文化传媒（北京）有限...,15000.0
法务专员,美城鸿业（北京）文化发展有限公司,3000.0
后期工人,上海星颂网络科技有限公司,3000.0
实习生,广州创闻投资有限公司,4500.0
诚聘演员（跟组，群演）可签约,美润美成企业管理（北京）有限公司,3000.0
执行经纪,聚焦（北京）婚纱摄影有限公司,8000.0
渠道运营经理,北京墨玉轩文化发展有限公司,10000.0
经纪人助理,北京源石创世财富资产管理有限公司,6000.0
北京线上主播招聘,机械工业信息研究院（机械工业出版...,6000.0
行政文员 商务文员  提供住宿 双休 4K+,《证券日报》社,6000.0
国企诚聘演艺类市场营销实习生,北京京联兴龙广告有限公司,3000.0
交互设计师,北京百应时光信息技术有限公司,0
销售管培生/实习生/应届生,深圳市艺赋文化传媒有限公司,8000.0
客服专员,北京世纪博湾文化传媒有限公司,5000.0
媒介计划,双翔（北京）广告传媒有限公司,15000.0
互联网销售,辰星娱乐（北京）有限公司,4500.0
客户助理（AAE）,美宏文化传媒（武汉）有限公司,0
行政助理,北京国联视讯信息技术股份有限公司,4500.0
房地产置业顾问,北京京都文化投资管理公司,0
客户经理,北京天顺众邦文化艺术有限公司上海...,8000.0
写字楼租赁推广,北京沃富瑞德文化传播有限公司,3000.0
客服专员,北京八八空间舞蹈文化艺术有限公司,4500.0
销售代表,商众世纪传媒广告（北京）有限公司,2000.0
选片师,北京云锐国际广告有限公司,3000.0
咨询师,北京普乐普公共关系顾问有限公司,4500.0
诚聘前期设计排版,北京艾里浮图文化发展有限公司,4000.0
实习生（业务方向）,北京太安居业房地产经纪有限公司,10000.0
策划编辑,北京未来广告有限公司,5000.0
编辑实习生,百纳大通国际进出口贸易（北京）有...,4000.0
电话销售,北京图瑞讯科技有限公司,4500.0
新媒体编辑,北京博雅汇通贸易有限公司,3000.0
数据分析,北京蓓姬婚纱摄影有限责任公司,5000.0
艺人统筹,北京快乐蚂蚁管理咨询有限公司,6000.0
美术编辑/美术策划,卫康（北京）生物科技有限公司,0
手绘师,北京万象传媒广告有限公司,3000.0
福利齐全+领导好+可倒休+奖励多急聘商家用户部专员,人民交通出版社股份有限公司,8333.333333333334
版权专员,中核（北京）传媒文化有限公司,0
保洁,北京万合美声文化发展有限公司,8000.0
客户部实习生（北京）,北京中税报科技发展有限责任公司,7000.0
用户运营实习生,北京轩银瑞华文化传播有限公司,5000.0
标注专员,北京美客互娱文化传播有限公司,4500.0
博士（TEE安全技术、Java架构师、嵌入式、大数据）,广州高至影像科技股份有限公司,4400.0
会展助理,美薇亭（北京）文化发展有限公司,3300.0
物流专员（北京）,广州市慧批电子商务有限公司,3000.0
实习生（活动方向）,梦响当然音乐文化传播（上海）有限...,4000.0
监播***,北京星光影视设备科技股份有限公司,2000.0
搜狗搜索销售代表（草房）011,北京康斯泰克广告有限公司,1500.0
区域销售经理,公司名,0
编导（接受毕业生实习生）,北京发镖网络科技有限公司,3000.0
课程执行,北京博雅立方科技有限公司,2000.0
书籍装帧设计,广州思可企业管理咨询有限公司,15000.0
物业拓展专业（社区）,振威展览,2000.0
